economy,time,Inversion_Extranjera_Pct_PIB,Inflacion_Pct,Efectividad_Gobierno,Uso_Internet_Pct,Exportaciones_Pct_PIB,PIB_PPP,Matricula_Primaria_Pct,Fuerza_Laboral_Total,Esperanza_Vida_Total,Poblacion_Total
ALB,YR2023,6.90036950940795,4.75834555150039,0.250855356454849,83.1356,38.4188212901288,49443120128.3605,,1210263.0,79.602,2414095.0
ALB,YR2024,6.32349466068578,2.21587375089999,,,36.2848685351465,51443553392.673,,1199424.0,,2377128.0
AND,YR1990,,,,0.0,,2631759311.90244,,,78.961,52597.0
AND,YR1991,,,,,,2698763996.90569,,,79.346,56667.0
AND,YR1992,,,,,,2723841290.8748,,,79.794,60200.0
AND,YR1993,,,,,,2695745293.15108,,,80.186,63272.0
AND,YR1994,,,,,,2759989816.43446,,,80.587,64612.0
AND,YR1995,,,,,,2836096580.14852,,,80.804,63912.0
AND,YR1996,,,1.41403770446777,1.53,,2967967659.48467,,,81.009,63984.0
AND,YR1997,,,,3.05,,3237093233.43958,,,81.145,64700.0
AND,YR1998,,,1.40335631370544,6.89,,3340511674.18327,,,81.28,65382.0
AND,YR1999,,,,7.64,,3477441884.0993,,,81.55,65710.0
AND,YR2000,,,1.38048672676086,10.5388,,3600138634.67129,,,81.863,65685.0
AND,YR2001,,,,,,3892446768.89736,,,82.162,65852.0
AND,YR2002,,,1.36772322654724,11.2605,,4069411497.98481,,,82.448,66506.0
AND,YR2003,,,1.34903717041016,13.5464,,4423214423.66702,,,82.718,69486.0
AND,YR2004,,,1.50376403331757,26.838,,4783072832.92882,,,82.815,74325.0
AND,YR2005,,,1.28759801387787,37.6058,,5041253346.26448,,,83.086,77421.0
AND,YR2006,,,1.53840279579163,48.9368,,5283671526.22279,,,83.374,79585.0
AND,YR2007,,,1.50177264213562,70.87,,5365736885.77917,,,83.632,81877.0
AND,YR2008,,,1.52840650081635,70.04,,5067445572.25505,,,83.855,83495.0
AND,YR2009,,,1.53620111942291,78.53,,4798726709.88385,,,84.1,83888.0
AND,YR2010,,,1.51271617412567,81.0,,4703953872.84549,,,84.197,80706.0
AND,YR2011,,,1.49892425537109,81.0,,4703574275.36736,,,84.296,77783.0
AND,YR2012,,,1.52334606647491,82.7,,4469597620.27972,,,84.334,76834.0
AND,YR2013,,,1.53249549865723,84.4,,4311034330.8461,,,84.406,75194.0
AND,YR2014,,,1.71216595172882,86.1,,4419002699.26687,,,84.485,73737.0
AND,YR2015,,,1.74073541164398,87.9,,4482377402.04324,,,84.532,72174.0
AND,YR2016,,,1.80540561676025,89.7,,4648659173.53205,,,84.489,72181.0
AND,YR2017,,,1.87694644927979,91.5675,,4664746876.17637,,,84.359,73763.0
AND,YR2018,,,1.87921941280365,,,4738858764.76253,,,84.242,75162.0
AND,YR2019,13.3818072686093,,1.85192060470581,90.7187,,4834372720.68675,,,84.098,76474.0
AND,YR2020,9.43228499707799,,1.7492413520813,93.2056,,4293699379.34509,,,79.418,77380.0
AND,YR2021,14.5826559404996,,1.74892807006836,93.8975,,4649508748.84024,,,82.331,78364.0
AND,YR2022,17.5702350620217,,1.49526071548462,94.4855,,5094216232.49801,,,84.016,79705.0
AND,YR2023,7.28597529959797,,1.4754387140274,95.4456,,5225828100.9848,,,84.041,80856.0
AND,YR2024,6.64266743694098,,,,,5402033635.11601,,,,81938.0
ARE,YR1990,-0.228435309603761,,,0.0,,211418137947.883,96.9068,994314.0,71.074,1898220.0
ARE,YR1991,0.0503179637301319,,,,,213236507186.574,97.42814,1066003.0,71.144,2006626.0
ARE,YR1992,0.239162943469002,,,,,220369150770.144,93.98811,1139611.0,71.166,2114730.0
ARE,YR1993,0.72147194906954,,,,,223148426546.699,90.43338,1217665.0,71.159,2222093.0
ARE,YR1994,0.105319789259975,,,,,238537073536.018,88.41546,1294197.0,71.204,2328188.0
ARE,YR1995,0.608195467069962,,,0.103,,254490162178.461,88.89034,1373605.0,71.392,2434662.0
ARE,YR1996,0.408474866706161,,0.776639640331268,0.375,,269246530097.93,86.05468,1478085.0,71.82,2597564.0
ARE,YR1997,0.294815985875101,,,3.3,,291298894262.004,82.45285,1608233.0,72.559,2817410.0
ARE,YR1998,0.340485312002994,,0.752557337284088,6.91,,292149470551.832,79.37283,1749902.0,73.66,3040421.0
ARE,YR1999,-1.16683578609984,,,14.9,,300628272334.303,,1901249.0,74.982,3266009.0
ARE,YR2000,-0.485281532912816,,0.747685492038727,23.6253,,333254569518.546,,2060775.0,76.347,3493575.0
ARE,YR2001,1.14589216998935,,,26.2718,49.1592253276122,337917084336.021,,2229664.0,77.621,3723590.0
ARE,YR2002,0.0867813662286139,,0.796371579170227,28.3165,49.5033473840813,346140150639.978,,2406124.0,78.721,3956826.0
ARE,YR2003,3.42266271097113,,0.537254989147186,29.478,55.9231992151745,376602355869.144,,2586208.0,79.6,4192457.0
ARE,YR2004,6.76715211324682,,0.687684059143066,30.1313,63.5677298138648,412629781619.34,,2767783.0,80.272,4428967.0
ARE,YR2005,6.03481604123485,,0.716674387454987,40.0,67.5853113898841,432663540131.78,,2952666.0,80.779,4664790.0
ARE,YR2006,5.76543753223521,,0.945923328399658,52.0,68.6277976715135,475226036099.458,,3203245.0,81.155,5009100.0
ARE,YR2007,5.50043971722883,,0.943043947219849,61.0,72.3840975003088,490359087293.715,86.66614,3611116.0,81.438,5624635.0
ARE,YR2008,1.60487460715228,12.2504202448139,0.898490905761719,63.0,78.86788870154,506010546511.465,,4039830.0,81.591,6302664.0
ARE,YR2009,0.447367365845778,1.5618131744907,1.00920045375824,64.0,79.6533178621862,479480808732.625,,4273552.0,81.679,6707058.0
ARE,YR2010,2.85854032456409,0.877983288285867,0.918635427951813,68.0,77.4455343570214,487166167099.378,,4379076.0,81.886,6869838.0
ARE,YR2011,1.938861867408,0.87734659568512,1.07076179981232,78.0,85.628648366152,519983959415.68,,4544776.0,81.898,7104538.0
ARE,YR2012,2.43554239157448,0.662268900269009,1.16282367706299,85.0,95.6008662534124,544336189842.921,86.53352,4739967.0,81.913,7391448.0
ARE,YR2013,2.38382217021709,1.1011183637571,1.19010066986084,88.0,95.7551835445394,571109245952.172,85.55659,4949756.0,81.95,7693031.0
ARE,YR2014,2.60546065371654,2.34626865671643,1.45158290863037,90.4,94.773856080155,597568060266.161,90.21069,5206950.0,81.99,8059440.0
ARE,YR2015,2.23861395699196,4.06996608361593,1.5004917383194,90.5,93.8625430925095,639921733233.708,93.73636,5518270.0,82.076,8505237.0
ARE,YR2016,2.51620200951453,1.61748808904198,1.4101870059967,90.6,94.4747534696859,676128078022.637,94.55178,5831423.0,82.195,8935095.0
ARE,YR2017,2.56696112401594,1.96682557818842,1.40890324115753,94.8199,94.7373963619868,668951812717.424,95.02753,6046380.0,82.388,9223225.0
ARE,YR2018,2.35729150002132,3.06863379251997,1.42633962631226,98.45,90.8429581255868,679234718102.807,,6158515.0,82.449,9346701.0
ARE,YR2019,4.11928564301823,-1.93108114782173,1.38027024269104,99.15,93.3023091201398,687870117121.268,,6256531.0,82.596,9445785.0
ARE,YR2020,5.56735507865122,-2.07940317940944,1.2852668762207,100.0,98.0724675358339,628070636282.95,,6178311.0,81.936,9401038.0
ARE,YR2021,4.89230472033291,0.179935336174431,1.36370348930359,100.0,100.642574267637,656665346475.563,,6160044.0,79.083,9575152.0
ARE,YR2022,4.44591399207935,5.29122604376849,1.29912793636322,100.0,102.051988974133,706010360564.282,,6499963.0,80.487,10074977.0
ARE,YR2023,5.87184069440898,1.62670837213248,1.60428190231323,100.0,106.846139017261,736377153089.291,,6793436.0,82.909,10483751.0
ARE,YR2024,8.26261712974626,1.66336510224894,,100.0,,765771908236.642,,7161775.0,,10986400.0
ARG,YR1990,1.29887904052817,,,0.0,10.3595365925264,557088925124.231,,13450998.0,71.615,32755901.0
ARG,YR1991,1.28557885422783,,,,7.67504334832217,607968472614.51,96.1759,13889774.0,72.02,33230294.0
ARG,YR1992,1.9367945155154,,,0.00299,6.5981874720374,656224702857.102,,14306360.0,72.096,33693527.0
ARG,YR1993,1.17980281165114,,,0.0295,6.90935153370832,710080926887.272,,14739466.0,72.303,34152717.0
ARG,YR1994,1.411953029158,,,0.0437,7.52994872591672,751522674939.001,,15116051.0,72.732,34613491.0
ARG,YR1995,2.17392758974997,,,0.0863,9.68041025959015,730140279566.018,,15240944.0,72.864,35070020.0
ARG,YR1996,2.55320340608332,,0.165690049529076,0.142,10.4285967560139,770492868120.735,,15612527.0,73.056,35513793.0
ARG,YR1997,3.12787793868196,,,0.28,10.5608501019262,832987905019.268,100.0,16062098.0,73.407,35947791.0
ARG,YR1998,2.43876896154487,,0.328712493181229,0.831,10.4155819610919,865059429174.392,99.31647,16388640.0,73.412,36372860.0
ARG,YR1999,8.46058217133802,,,3.28,9.82717451494235,835773213823.75,99.16485,16485080.0,73.683,36794682.0
ARG,YR2000,3.66579059535379,,-0.0280386935919523,7.03868,10.9863752325576,829178972033.759,98.92861,16660492.0,73.91,37213984.0
ARG,YR2001,0.806164134759348,,,9.78081,11.5790080825317,792621800475.08,99.0026,16712140.0,74.154,37624825.0
ARG,YR2002,2.19895819502207,,-0.228479072451591,10.8821,28.3825969991682,706269738674.223,98.95948,16524914.0,74.312,38029349.0
ARG,YR2003,1.29481086883944,,-0.0342199839651585,11.9137,25.9309429264224,768683083609.037,98.87379,17006209.0,74.307,38424282.0
ARG,YR2004,2.5050175164097,,0.015197392553091,16.0367,23.8476194239892,838091886093.454,98.57855,17502349.0,74.871,38815916.0
ARG,YR2005,2.64935441452167,,-0.0979790613055229,17.7206,23.2458767338576,912276929668.686,98.81425,17624307.0,75.231,39216789.0
ARG,YR2006,2.38106854489628,,-0.0339163094758987,20.9272,23.0266946038115,985689236302.599,98.85437,17955872.0,75.279,39622115.0
ARG,YR2007,2.25129423568361,,-0.0125325033441186,25.9466,22.6627503115066,1074476681421.66,99.13952,18001087.0,74.783,40016763.0
ARG,YR2008,2.68990096507093,,-0.123509347438812,28.1126,22.0609003826242,1118070705029.3,99.13278,18041663.0,75.428,40424148.0
ARG,YR2009,1.20643922647566,,-0.294032037258148,34.0,19.5609850560818,1051897409980.83,99.09709,18399678.0,75.577,40854831.0
ARG,YR2010,2.67516171886535,,-0.1117919459939,45.0,18.9338234053709,1158406210935.09,98.7319,18468692.0,75.68,41288694.0
ARG,YR2011,2.04465997872008,,-0.0723610669374466,51.0,18.4492091453155,1227956360246.09,98.91685,18857586.0,76.1,41730660.0
ARG,YR2012,2.80667189982932,,-0.206967011094093,55.8,16.2378594620246,1215352364993.03,99.05122,19006986.0,75.802,42161721.0
ARG,YR2013,1.77920553648531,,-0.254236966371536,59.9,14.6171733884386,1244585524448.65,99.11341,19111596.0,75.829,42582455.0
ARG,YR2014,0.962406650325519,,-0.111114293336868,64.7,14.4054785893756,1213313877880.72,99.44461,19177885.0,76.268,43024071.0
ARG,YR2015,1.97713461784426,,-0.0494756102561951,68.0431,10.7056520504538,1246451419104.46,99.49576,19343227.0,76.6,43477012.0
ARG,YR2016,0.584748941173009,,0.218796372413635,70.969,12.5270951690009,1220521143173.66,99.10172,19497873.0,76.105,43900313.0
